user_id,track_id,timestamp,age_group,activity,mood,time_slot,weekday
u00267,7nQkIv6NYKGzjBytrBfTnm,54,18-25,workout,energetic,night,1
u00182,65O1Ry1edYOixyVOCXXY7R,19831,26-35,workout,happy,early_morning,1
u00058,1TfqLAPs4K3s2rJMoCokcS,20457,36-50,commute,melancholic,early_morning,1
u00222,7bg3UimnS4beLnE476hfEE,24435,36-50,leisure,energetic,morning,1
u00120,3Qj5PG9R07UbNMbaMNpKYd,26179,26-35,commute,happy,morning,1
u00056,5mJUjeUsF7UIb0inMW7Oap,26295,26-35,commute,calm,morning,1
u00138,5IjpbWSnrxhhlzsk7VKgyg,30779,18-25,workout,happy,morning,1
u00276,5EXpL9orGpIsscSyBgPdSx,32718,26-35,commute,energetic,morning,1
u00159,2AonZJ7LkhkQyWPck40uOO,35833,36-50,workout,calm,morning,1
u00256,3AQHu4I85Izzs6BPs0j3HO,36017,36-50,commute,happy,morning,1
u00267,4RL53b4NDXOGZsyN0T2hhI,40511,18-25,workout,happy,morning,1
u00067,6VJcMjtcbFGAwZxqW28C8Q,45656,18-25,leisure,happy,afternoon,1
u00012,6wywJ7RutAY0JL7cMP7uFN,52010,36-50,workout,calm,afternoon,1
u00201,5QZ7FgSNZ3FzpObGPS8bUl,58411,50+,work,energetic,afternoon,1
u00148,6S1BoAiJeJ96A09tHIwJuy,60254,50+,commute,melancholic,afternoon,1
u00107,679zqcQuKakOGI93NPCqB8,61509,36-50,commute,happy,evening,1
u00039,11VKZIFqVjUnmizg4FTbUv,62440,36-50,commute,calm,evening,1
u00044,2d6m2F4I7wCuAKtSsdhh83,62596,<18,workout,happy,evening,1
u00277,1aECQTfv5SO42lU4fvrdJJ,66350,36-50,work,calm,evening,1
u00042,1gWtHDe403RuyZqhvSRcv8,67327,36-50,commute,energetic,evening,1
u00275,3z1PkRAvO0Vhdz7d6epug3,68879,26-35,commute,melancholic,evening,1
u00079,10ASBwZsp7oUUDsJEYz3uS,77771,36-50,leisure,melancholic,late_night,1
u00041,6ow5P73FytC5N2Bzy7rZYP,78672,36-50,workout,calm,late_night,1
u00155,6S9cD7tH4ddYXuat55DqgW,80337,36-50,leisure,melancholic,late_night,1
u00035,0cedv1glc4UvAaJ77RYRwh,81359,<18,leisure,melancholic,late_night,1
u00081,6TDQWNoeHDx6c7aMLPMR7n,84922,26-35,commute,calm,late_night,1
u00032,2hi7Jw3clS1Vg0L1NNwrNG,84925,<18,leisure,melancholic,late_night,1
u00005,7ftmaPSD0igSn4xdRz58v6,85154,50+,work,melancholic,late_night,1
u00029,4eTOyWkfoZP2vHT6jCfOcS,96813,26-35,workout,energetic,early_morning,1
u00290,5fnOrhQ4KgT5irGCjIccGH,97550,50+,workout,calm,early_morning,1
u00047,2gFS06JSiVEp51OKLcn6Aj,102860,50+,workout,happy,early_morning,1
u00066,1XSBetDB37QhmsBkfHvaTW,104744,50+,workout,energetic,early_morning,1
u00046,0uxHbPAoAGTKvFWjEC5Xf0,104798,26-35,workout,calm,early_morning,1
u00022,55tehuewleUyLqkKuovHkQ,108776,<18,work,melancholic,morning,1
u00049,5D9QdeqUWS5CXvk7XgtbQf,118250,36-50,work,happy,morning,1
u00030,0WsROU8CJrMWBukK5IMs4y,119174,26-35,workout,happy,morning,1
u00044,7LdUTzOChvJJbJPZNhJj5X,121710,<18,workout,energetic,morning,1
u00137,4KvwPgAJMWNqx4lCll9Ldp,134852,<18,workout,energetic,afternoon,1
u00113,3f3aiKRmVI46WqAvpSwiDx,140978,26-35,work,calm,afternoon,1
u00053,3c1WpbybMEVzpwWGJ4PKQL,142453,26-35,work,energetic,afternoon,1
u00076,3qcRxk7XZRzqul1MtfKmXN,145618,18-25,work,energetic,afternoon,1
u00139,4JvWZri1ws69oy9cIPFKE6,150555,26-35,commute,calm,evening,1
u00125,307Ip1Gl8XSSYoGqaW6TVo,151886,26-35,workout,calm,evening,1
u00036,15xHY9Abj6tTPrZlOQxP1r,152091,50+,commute,energetic,evening,1
u00268,6AFkv6rIVRusZNifR74Q7t,152201,36-50,workout,calm,evening,1
u00116,6nyGWTFwJo1wUERwp4QJVf,153850,<18,leisure,energetic,evening,1
u00105,6RUpJeXT6U4SPEafnr9Wr7,156288,36-50,workout,energetic,evening,1
u00172,6NAn7eEExGOlf37BW9sZdJ,162638,36-50,leisure,calm,late_night,1
u00085,0mjcoTt1PfckDZB2gPREXf,170753,36-50,commute,happy,late_night,1
u00186,4EaBMhUIOfnFEbIgqCfKbi,179843,<18,work,happy,night,1
u00274,4GUkwP7dbOjkoERmJ015J7,181099,26-35,workout,calm,early_morning,1
u00253,49MaeQHQvaHG8CXS99kR6Q,185155,18-25,workout,energetic,early_morning,1
u00096,0iVmQ2JXeQXCnAJUtqx4zf,188998,18-25,workout,energetic,early_morning,1
u00028,1QSfgGcP3Rmdo2EdW1s4ya,190521,26-35,workout,melancholic,early_morning,1
u00036,0j1syF5BFSty3vFoaj0vsX,193070,50+,workout,calm,early_morning,1
u00063,2IeXfX0UNV3wCOnvIm8r3e,194126,50+,workout,energetic,early_morning,1
u00185,4uAgWZfhL1Znf7YgRuUk0G,198598,26-35,workout,energetic,morning,1
u00147,0b18g3G5spr4ZCkz7Y6Q0Q,198666,18-25,workout,calm,morning,1
u00084,0fWeyvRReaIexZ4YrrzSzV,198986,36-50,commute,energetic,morning,1
u00058,7kYgRZwVlq9a3lvHGHunrb,200988,36-50,commute,calm,morning,1
u00155,6Rf06Pelmo187lH6VTQmdN,202315,36-50,work,calm,morning,1
u00288,4aX3n1Pn6jiCbvqBL8eqyP,204716,26-35,work,melancholic,morning,1
u00230,03EuhmMsEHVFI9ytainStU,214919,26-35,workout,calm,morning,1
